Order ID,Order Date,Ship Date,Customer Name,Customer ID,Customer Segment,Category,Product Name,Product ID,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Stock Left,Auto Reorder,Reorder Quantity,Supplier Name,Supplier Email,Payment Mode,Delivery Status
ORD1020,2025-08-05,2025-08-09,Grant Watts,CUST614,Home Office,Office Supplies,Pen,PROD9320,North,Kentucky,Kington,3,435.75,0,1307.25,335.56,0.0,25,No,0,Walters LLC,smithkellie@example.net,Credit Card,Pending
ORD1021,2024-11-12,2024-11-17,Jeremy Thornton,CUST352,Home Office,Furniture,Dining Table,PROD2343,West,Oklahoma,North Charlesberg,10,2869.61,10,25826.49,2507.7,0.0,42,No,0,"Johnson, Wood and Tran",tanderson@example.com,Bank Transfer,Pending
ORD1022,2026-03-22,2026-03-24,Valerie Williams,CUST371,Corporate,Office Supplies,Stapler,PROD8491,East,Minnesota,Lake John,2,145.65,20,233.04,130.99,23.46,4,Yes,37,Gomez PLC,vdickson@example.org,UPI,Delivered
ORD1023,2026-04-12,2026-04-17,Sharon Cherry,CUST371,Consumer,Electronics,Laptop,PROD5002,East,Idaho,Johnsonmouth,5,872.96,20,3491.84,682.14,763.28,42,No,0,Pham-Shields,josephcobb@example.org,Net Banking,Delivered
ORD1024,2025-02-14,2025-02-17,Shannon Walker,CUST779,Consumer,Office Supplies,Stapler,PROD2891,North,New Jersey,Kevinbury,9,861.69,10,6979.69,639.32,0.0,13,No,0,Johnson and Sons,emurphy@example.com,Bank Transfer,Cancelled
ORD1025,2025-01-20,2025-01-25,Jennifer Zavala,CUST600,Corporate,Furniture,Office Chair,PROD7939,East,Ohio,Sheilaville,1,117.37,5,111.5,88.6,0.0,10,No,0,White-Estes,benjamin96@example.com,Cash,Cancelled
ORD1026,2025-11-09,2025-11-14,Jessica Joyce,CUST822,Corporate,Furniture,Office Chair,PROD2232,South,Delaware,Lamborough,9,276.54,10,2239.97,202.7,0.0,27,No,0,Williams-Graham,michaeljones@example.net,UPI,Pending
ORD1027,2026-04-08,2026-04-09,Erik Charles,CUST415,Corporate,Furniture,Bookshelf,PROD4441,South,Washington,Williamchester,2,1833.03,20,2932.85,1564.77,-126.52,47,No,0,Powell-Phillips,jamesortega@example.com,UPI,Returned
ORD1028,2025-10-01,2025-10-03,Carrie Carroll,CUST985,Consumer,Office Supplies,File Folder,PROD1406,South,Montana,West Justinchester,6,3933.69,15,20061.82,3229.14,0.0,17,No,0,"Lawson, Morris and Ramos",williamleon@example.net,UPI,Pending
ORD1029,2024-09-01,2024-09-08,Diane Beck,CUST818,Consumer,Groceries,Rice,PROD1634,West,South Carolina,Clarencebury,4,1077.91,15,3664.89,689.72,0.0,14,No,0,"Collins, Drake and Hernandez",sanchezthomas@example.org,Credit Card,Pending
ORD1030,2025-04-11,2025-04-17,Mark Lee,CUST297,Corporate,Electronics,Keyboard,PROD2137,East,Vermont,Snyderbury,6,3243.26,15,16540.63,2503.17,0.0,1,Yes,23,Douglas Inc,osbornejeffery@example.net,Bank Transfer,Cancelled
ORD1031,2025-05-30,2025-06-01,Justin Lowery,CUST694,Corporate,Furniture,Office Chair,PROD8119,East,Delaware,Andersonmouth,6,2238.33,20,10743.98,1222.71,0.0,16,No,0,"Schmidt, Hansen and Stewart",usalazar@example.net,Credit Card,Pending
ORD1032,2025-03-20,2025-03-26,Kimberly Merritt,CUST546,Consumer,Office Supplies,Stapler,PROD8066,North,West Virginia,Colebury,6,3153.46,0,18920.76,2484.62,0.0,32,No,0,"Ramirez, Strickland and Washington",joshuajones@example.com,Bank Transfer,Cancelled
ORD1033,2024-10-22,2024-10-28,Francisco Fernandez,CUST518,Corporate,Groceries,Snacks,PROD5844,South,Florida,East Patrick,4,2160.19,15,7344.65,1665.35,0.0,39,No,0,Mccarthy Inc,irussell@example.com,Net Banking,Pending
ORD1034,2025-03-11,2025-03-14,Ross Price,CUST515,Home Office,Furniture,Bookshelf,PROD5700,South,Wyoming,Port Nicoleshire,7,3950.22,20,22121.23,3009.6,-992.17,43,No,0,Woods-Bender,karen68@example.net,UPI,Returned
ORD1035,2025-11-14,2025-11-19,Lindsey Walker,CUST584,Home Office,Office Supplies,Pen,PROD5649,East,Iowa,Ryantown,2,4110.27,5,7809.51,3161.28,0.0,12,No,0,Rogers-Shelton,dramsey@example.org,UPI,Pending
ORD1036,2025-08-19,2025-08-20,Susan Vargas,CUST147,Consumer,Groceries,Vegetables,PROD2193,West,Texas,North Dawnberg,7,4442.07,20,24875.59,2566.51,-2088.82,15,No,0,White-Green,jason55@example.com,UPI,Returned
ORD1037,2024-11-25,2024-12-01,Sandra King,CUST804,Consumer,Furniture,Sofa,PROD4585,South,Colorado,Smithside,9,2376.29,20,17109.29,1425.01,6849.22,29,No,0,Cooke LLC,debraharrington@example.net,UPI,Delivered
ORD1038,2024-05-24,2024-05-31,Tiffany Gonzalez,CUST575,Home Office,Electronics,Mouse,PROD9270,West,Alaska,East David,9,2284.98,5,19536.58,1822.19,-751.86,48,No,0,"Wilson, Gould and Marshall",katie29@example.net,UPI,Returned
ORD1039,2025-11-24,2025-12-01,Paula Martin,CUST752,Corporate,Groceries,Snacks,PROD4919,East,Maryland,New Anthonyport,8,479.67,10,3453.62,284.83,0.0,20,No,0,"Byrd, Rubio and Sanders",charlesvaughn@example.net,Net Banking,Cancelled
ORD1040,2024-10-28,2024-10-29,Raymond Jefferson,CUST241,Consumer,Office Supplies,File Folder,PROD3503,South,Rhode Island,Port Tonyaton,2,2132.85,10,3839.13,1529.35,-122.16,26,No,0,Patel-Stanley,huntermatthew@example.com,Cash,Returned
ORD1041,2026-01-21,2026-01-28,Jeffrey Cox PhD,CUST698,Home Office,Furniture,Dining Table,PROD7232,West,New Jersey,South Gregory,1,4719.43,10,4247.49,3782.1,-175.17,47,No,0,"Sheppard, Nelson and Morton",umarshall@example.net,Net Banking,Returned
ORD1042,2024-11-17,2024-11-24,David Michael,CUST717,Consumer,Groceries,Bread,PROD5471,West,Louisiana,Sanchezmouth,8,242.22,10,1743.98,185.92,-99.25,29,No,0,"Bishop, Gray and Johnson",hunter35@example.com,UPI,Returned
ORD1043,2025-01-12,2025-01-17,Kyle Beard,CUST646,Consumer,Groceries,Vegetables,PROD1444,North,Oklahoma,New Stacyland,7,764.93,15,4551.33,438.07,0.0,24,No,0,Cortez Group,hannahbrewer@example.com,Bank Transfer,Cancelled
ORD1044,2025-04-06,2025-04-08,Anna Walker,CUST565,Corporate,Electronics,Mouse,PROD5558,West,Vermont,West Elizabeth,5,4191.06,15,17812.01,2128.02,8767.92,22,No,0,Kennedy-Schmidt,jbarajas@example.com,UPI,Delivered
ORD1045,2025-01-21,2025-01-27,Denise King,CUST170,Home Office,Furniture,Office Chair,PROD5051,South,Delaware,West David,1,3144.54,5,2987.31,1731.03,1342.83,36,No,0,"Tapia, Vaughn and Lee",lhill@example.net,UPI,Delivered
ORD1046,2025-07-30,2025-08-03,Brian Lee,CUST816,Corporate,Electronics,Monitor,PROD2876,South,Iowa,Harrytown,5,629.68,0,3148.4,548.8,-72.52,45,No,0,"Ferguson, Hill and Mccann",heidi27@example.org,UPI,Returned
ORD1047,2026-03-01,2026-03-02,Duane Mendoza,CUST706,Home Office,Office Supplies,Pen,PROD5941,North,Michigan,North Johnny,10,3934.91,10,35414.19,2805.98,0.0,4,Yes,36,Wilson-Jones,ojones@example.net,Bank Transfer,Cancelled
ORD1048,2024-06-03,2024-06-04,Robert Avery,CUST969,Corporate,Groceries,Milk,PROD8102,East,Colorado,North Angela,8,3565.81,15,24247.51,2034.13,0.0,39,No,0,Obrien-Gibbs,kimberlyjames@example.com,Net Banking,Cancelled
ORD1049,2024-12-09,2024-12-16,Wanda Torres,CUST595,Corporate,Groceries,Rice,PROD5397,East,South Carolina,New Susanville,4,4170.58,0,16682.32,2550.61,-964.03,29,No,0,Garrett LLC,mooreglenn@example.org,Net Banking,Returned
ORD1050,2024-08-22,2024-08-27,Jerry Wheeler,CUST784,Corporate,Electronics,Laptop,PROD9098,East,Maine,East Keithport,3,2488.99,10,6720.27,2038.81,0.0,17,No,0,"Heath, Jones and Hall",kristin93@example.com,Net Banking,Cancelled
ORD1051,2024-07-21,2024-07-27,Maria Kerr,CUST382,Home Office,Furniture,Dining Table,PROD4130,North,Georgia,North Gabrielport,4,3628.37,15,12336.46,2619.94,0.0,44,No,0,"Curry, Carroll and Roberts",harrisonkevin@example.com,Cash,Pending
ORD1052,2024-11-20,2024-11-26,Katherine Miller,CUST828,Corporate,Groceries,Rice,PROD1282,North,Arizona,Navarroview,5,1185.82,5,5632.64,738.15,0.0,30,No,0,Davis Ltd,keyemily@example.com,Net Banking,Cancelled
ORD1053,2025-07-14,2025-07-19,Peter Ruiz,CUST452,Corporate,Electronics,Keyboard,PROD8434,East,Tennessee,Moonburgh,5,1331.88,0,6659.4,1050.21,0.0,7,Yes,43,"Graham, Olsen and Costa",vbailey@example.com,Net Banking,Cancelled
ORD1054,2025-09-25,2025-10-02,Christopher Jenkins,CUST806,Consumer,Office Supplies,Notebook,PROD8933,East,New York,Elainefurt,10,4885.37,20,39082.96,3608.9,10211.76,12,No,0,"Johnson, Miller and King",cordovarichard@example.net,Bank Transfer,Delivered
ORD1055,2026-01-23,2026-01-25,Mary Daniels MD,CUST469,Consumer,Electronics,Laptop,PROD9751,South,Illinois,Cindyfort,5,323.03,0,1615.15,233.02,0.0,40,No,0,"Ramos, Williams and Adams",sarakim@example.net,Cash,Pending
ORD1056,2025-05-04,2025-05-05,William Lynch,CUST993,Consumer,Electronics,Mouse,PROD8843,West,Kansas,West Andrea,6,1003.38,0,6020.28,603.02,-295.03,4,Yes,32,"Russell, Walker and Skinner",murraydavid@example.org,Cash,Returned
ORD1057,2025-05-15,2025-05-16,Dorothy Thornton,CUST690,Home Office,Furniture,Study Table,PROD3444,East,Nebraska,Bairdbury,2,4970.2,0,9940.4,3594.59,-608.74,50,No,0,Arnold-Reyes,michellehill@example.com,Net Banking,Returned
ORD1058,2025-01-11,2025-01-13,Katie Hoover,CUST894,Home Office,Groceries,Fruits,PROD8253,East,Maine,Maryshire,10,4951.15,10,44560.35,3601.72,12144.87,39,No,0,"Burns, Hernandez and Ryan",martin86@example.com,Credit Card,Delivered
ORD1059,2026-04-17,2026-04-24,Colin Terry,CUST312,Home Office,Office Supplies,Stapler,PROD2330,South,Oregon,Hallchester,4,951.69,0,3806.76,535.43,-316.53,38,No,0,Flores Group,qhughes@example.net,Cash,Returned
ORD1060,2024-08-19,2024-08-22,Andrew Shaw MD,CUST133,Consumer,Electronics,Keyboard,PROD8438,North,Connecticut,Garciamouth,4,4627.16,20,14806.91,3537.34,0.0,27,No,0,Bowen Group,charlesharrington@example.com,Credit Card,Pending
ORD1061,2025-01-10,2025-01-15,Jennifer Miller,CUST330,Home Office,Office Supplies,Stapler,PROD3330,North,Michigan,Finleyfort,1,913.02,10,821.72,673.82,0.0,28,No,0,"Johnson, Jones and Welch",wendy16@example.org,Credit Card,Cancelled
ORD1062,2025-12-04,2025-12-08,Shelia Wallace,CUST805,Corporate,Groceries,Eggs,PROD9199,West,Vermont,Rebeccaton,8,494.17,0,3953.36,422.9,0.0,38,No,0,Flynn-Carter,ryan38@example.com,Bank Transfer,Cancelled
ORD1063,2025-07-06,2025-07-07,Catherine Thompson,CUST193,Consumer,Furniture,Bookshelf,PROD1659,South,South Carolina,Harveybury,8,2642.92,15,17971.86,2289.9,0.0,37,No,0,Durham-Thomas,dlittle@example.com,Cash,Pending
ORD1064,2025-09-22,2025-09-28,Robert Santana,CUST933,Corporate,Furniture,Sofa,PROD6700,West,Utah,North Scott,6,1673.19,0,10039.14,1410.66,0.0,26,No,0,Huerta-Evans,dvaughn@example.com,Cash,Cancelled
ORD1065,2024-09-24,2024-09-27,Dr. Ashley James MD,CUST778,Corporate,Furniture,Sofa,PROD2442,East,Maine,Andrewfurt,5,1684.04,15,7157.17,1424.64,1102.45,42,No,0,Smith-Grimes,lozanojulie@example.com,Net Banking,Delivered
ORD1066,2025-12-16,2025-12-20,Lisa Gomez,CUST523,Consumer,Office Supplies,Calculator,PROD6927,West,South Dakota,New John,8,3823.95,5,29062.02,2320.46,0.0,18,No,0,"Saunders, Becker and Taylor",bergerdebbie@example.com,Cash,Pending
ORD1067,2025-12-26,2026-01-01,Kevin Oconnor,CUST596,Consumer,Furniture,Dining Table,PROD4920,South,Colorado,Markchester,5,2799.11,20,11196.44,1856.36,0.0,7,Yes,34,Gonzalez PLC,alyssa42@example.com,Credit Card,Pending
ORD1068,2026-04-02,2026-04-08,Karen Drake,CUST952,Consumer,Groceries,Snacks,PROD5781,East,West Virginia,Lindamouth,7,4190.15,15,24931.39,2503.58,0.0,24,No,0,Taylor and Sons,zcoffey@example.net,UPI,Pending
ORD1069,2025-02-01,2025-02-06,James Baker,CUST620,Home Office,Office Supplies,Pen,PROD5526,West,Delaware,Richardsonview,6,4677.82,20,22453.54,2838.82,8827.2,18,No,0,"James, Little and Watson",thomasharvey@example.net,Bank Transfer,Delivered
ORD1070,2025-01-02,2025-01-09,Connie Brown,CUST701,Home Office,Groceries,Rice,PROD3434,West,New Jersey,Debraville,9,2473.27,10,20033.49,1782.65,-1068.84,20,No,0,Williams Inc,wendy11@example.org,UPI,Returned
ORD1071,2026-03-13,2026-03-19,Jasmine Watson,CUST344,Home Office,Groceries,Bread,PROD7730,North,West Virginia,Matthewsberg,6,3749.06,15,19120.21,2453.5,0.0,31,No,0,Pena-Bass,rcrosby@example.org,Credit Card,Pending
ORD1072,2025-10-11,2025-10-13,Jeremy Sampson,CUST614,Home Office,Electronics,Laptop,PROD8213,North,Mississippi,Lake Michaelstad,9,4561.16,0,41050.44,3598.65,-2375.17,9,Yes,22,Sanders and Sons,rushmadison@example.org,Cash,Returned
ORD1073,2025-09-19,2025-09-26,Mark Maddox,CUST371,Corporate,Groceries,Snacks,PROD2315,East,Arkansas,Johnberg,9,1962.05,10,15892.61,1472.95,-1087.4,2,Yes,39,"Harris, Gallegos and Spencer",lisahall@example.org,Credit Card,Returned
ORD1074,2025-12-26,2025-12-28,April Garrison,CUST746,Home Office,Electronics,Monitor,PROD2480,West,Georgia,New John,2,3825.81,0,7651.62,2591.88,0.0,1,Yes,21,Rodriguez Inc,alexistyler@example.org,Bank Transfer,Cancelled
ORD1075,2025-07-24,2025-07-31,Christopher Williams,CUST157,Corporate,Electronics,Keyboard,PROD8056,South,West Virginia,Foxland,4,2702.71,20,8648.67,2088.44,0.0,10,No,0,West-Cox,hayesjeffrey@example.net,UPI,Pending
ORD1076,2024-05-26,2024-05-27,Susan Hopkins,CUST724,Corporate,Office Supplies,File Folder,PROD3344,South,Maryland,Schneidertown,8,3225.73,15,21934.96,1942.31,8727.26,29,No,0,Lutz Group,fparks@example.net,Bank Transfer,Delivered
ORD1077,2026-03-30,2026-04-05,Steven Morris,CUST659,Consumer,Furniture,Sofa,PROD6661,East,Georgia,East Joshuashire,7,3482.54,15,20721.11,2918.79,0.0,24,No,0,"Joseph, James and Harper",shawn96@example.org,Cash,Pending
ORD1078,2025-12-30,2025-12-31,Sarah Curtis,CUST342,Corporate,Electronics,Headphone,PROD5847,East,Wyoming,South Shannon,1,4891.93,15,4158.14,2983.06,1622.54,38,No,0,Gutierrez Group,gperry@example.com,Cash,Delivered
ORD1079,2025-03-20,2025-03-27,David Mckay,CUST393,Consumer,Electronics,Monitor,PROD4115,East,Utah,Jonesland,3,3178.42,0,9535.26,1981.98,-382.88,23,No,0,Reynolds Ltd,lisa80@example.net,UPI,Returned
ORD1080,2025-07-03,2025-07-04,Meagan Jenkins,CUST402,Corporate,Groceries,Bread,PROD4289,South,Texas,Parrishton,9,4394.66,10,35596.75,3130.5,0.0,10,No,0,Burke-Bell,ericolson@example.org,Bank Transfer,Cancelled
ORD1081,2025-01-19,2025-01-26,Holly Farmer,CUST593,Corporate,Electronics,Laptop,PROD8673,North,Oregon,Port Roy,3,3795.34,5,10816.72,3203.48,-495.0,35,No,0,"Villegas, Cardenas and Austin",lynchdiane@example.net,Bank Transfer,Returned
ORD1082,2024-11-16,2024-11-17,Donald Farmer,CUST909,Corporate,Furniture,Bookshelf,PROD9791,North,Michigan,Adamberg,8,1906.07,10,13723.7,1398.72,0.0,6,Yes,41,"Sandoval, Jones and Figueroa",davisalyssa@example.com,UPI,Cancelled
ORD1083,2025-03-15,2025-03-19,Christopher Collins,CUST125,Home Office,Electronics,Headphone,PROD4626,North,Massachusetts,North Ericton,8,4556.0,10,32803.2,3461.17,7882.78,8,Yes,21,"Miller, Ramos and Coleman",nperry@example.net,Credit Card,Delivered
ORD1084,2024-07-20,2024-07-23,Brian Gregory,CUST604,Consumer,Furniture,Study Table,PROD9807,South,Pennsylvania,Roseport,7,2322.85,20,13007.96,1550.85,0.0,26,No,0,Walker PLC,smithkevin@example.org,Credit Card,Pending
ORD1085,2025-12-10,2025-12-17,David Murphy,CUST601,Home Office,Groceries,Eggs,PROD1536,East,Alabama,Burgessburgh,4,2272.58,5,8635.8,1913.92,1362.91,43,No,0,James Ltd,vincentwhitaker@example.com,Bank Transfer,Delivered
ORD1086,2024-06-17,2024-06-22,Patrick Graham,CUST760,Corporate,Furniture,Sofa,PROD5520,South,New Jersey,Port Lawrencechester,2,4750.15,15,8075.25,2549.26,0.0,41,No,0,"Sullivan, Bowman and Roberts",usmith@example.org,Net Banking,Pending
ORD1087,2026-01-05,2026-01-06,Julia Norris,CUST151,Corporate,Office Supplies,Notebook,PROD4362,North,Mississippi,South Meganbury,9,1115.07,5,9533.85,920.18,0.0,21,No,0,Chapman-Warren,vharrell@example.com,UPI,Pending
ORD1088,2024-10-12,2024-10-19,Christopher Dixon,CUST710,Consumer,Electronics,Monitor,PROD3129,East,Delaware,Port Michael,3,638.64,0,1915.92,352.99,0.0,50,No,0,"Mullen, Brewer and Hernandez",thomasjames@example.net,UPI,Cancelled
ORD1089,2024-08-19,2024-08-24,Mary Thompson,CUST431,Consumer,Office Supplies,Stapler,PROD1858,South,Wyoming,Marshallshire,7,2677.82,0,18744.74,1849.03,0.0,32,No,0,"Cole, Glass and Cunningham",michelle52@example.com,Net Banking,Cancelled
ORD1090,2024-06-15,2024-06-16,Mark Hogan,CUST562,Home Office,Office Supplies,Calculator,PROD1710,East,Pennsylvania,West Williamport,8,3252.37,0,26018.96,1705.32,-3334.94,27,No,0,Hayes-Brown,chase19@example.net,Credit Card,Returned
ORD1091,2025-05-21,2025-05-25,Kevin Best,CUST829,Corporate,Furniture,Office Chair,PROD6277,South,West Virginia,South Reginashire,2,718.34,20,1149.34,541.08,0.0,24,No,0,"Lopez, Jacobs and Mason",hayeslisa@example.com,Net Banking,Cancelled
ORD1092,2025-10-29,2025-11-03,Matthew Williams,CUST401,Corporate,Groceries,Milk,PROD2874,South,Virginia,Ritterhaven,7,2312.62,5,15378.92,1539.11,-924.58,46,No,0,"Bishop, Cox and Hardin",vortiz@example.net,Credit Card,Returned
ORD1093,2025-07-31,2025-08-03,Mark Cook,CUST537,Corporate,Electronics,Keyboard,PROD3500,West,Michigan,New Erikaport,2,547.0,0,1094.0,293.9,506.2,47,No,0,Cummings-Douglas,mathewaguilar@example.org,Bank Transfer,Delivered
ORD1094,2026-04-05,2026-04-12,Walter Hale,CUST233,Home Office,Furniture,Dining Table,PROD6400,North,Montana,New Jeanne,7,1832.63,15,10904.15,1552.67,1665.76,18,No,0,Collins Group,lisa81@example.net,Net Banking,Delivered
ORD1095,2025-09-25,2025-09-28,Ivan Cox,CUST460,Consumer,Office Supplies,Notebook,PROD8900,South,Idaho,West Stacey,2,1815.56,20,2904.9,1174.71,0.0,36,No,0,Lee-Cooke,chrisrichard@example.org,UPI,Cancelled
ORD1096,2025-05-22,2025-05-29,Sandy Stephenson,CUST539,Home Office,Furniture,Dining Table,PROD5381,North,Arizona,Nancyberg,3,1439.02,10,3885.35,1249.95,0.0,0,Yes,25,"Bennett, Martin and Guerra",jenniferwilliams@example.com,UPI,Cancelled
ORD1097,2025-09-30,2025-10-05,Tracy Bishop,CUST773,Corporate,Furniture,Study Table,PROD1502,North,Wisconsin,Youngbury,9,1154.15,15,8829.25,786.51,0.0,23,No,0,Sheppard-Mueller,michealvalentine@example.com,Bank Transfer,Pending
ORD1098,2025-04-16,2025-04-22,Paula Shaw,CUST432,Home Office,Furniture,Office Chair,PROD3549,South,Nebraska,Port James,10,343.84,0,3438.4,209.34,-265.14,28,No,0,"Taylor, Wright and Davidson",angela18@example.org,Cash,Returned
ORD1099,2024-11-30,2024-12-03,Christopher Cole,CUST320,Home Office,Furniture,Bookshelf,PROD8043,North,North Carolina,Port Samuel,5,3423.27,20,13693.08,2377.99,0.0,2,Yes,27,Velasquez LLC,perryrandy@example.com,Cash,Cancelled
ORD1100,2024-10-23,2024-10-28,Brad Walker,CUST156,Consumer,Office Supplies,Stapler,PROD4460,South,Massachusetts,Port Jennifermouth,5,1518.29,0,7591.45,763.84,-509.78,24,No,0,Taylor LLC,ihorton@example.net,Net Banking,Returned
ORD1101,2025-04-22,2025-04-28,Aaron Miller,CUST335,Home Office,Electronics,Laptop,PROD7505,North,Kentucky,Port Edward,7,191.83,0,1342.81,162.07,-44.72,45,No,0,"Lynch, Henderson and Parsons",kevinwilliams@example.com,Cash,Returned
ORD1102,2025-09-01,2025-09-04,Joyce Rodriguez,CUST217,Corporate,Furniture,Bookshelf,PROD3815,West,New York,Lake Zacharybury,6,531.84,0,3191.04,317.68,-263.15,25,No,0,"Thomas, Patterson and Mendez",ashleylopez@example.net,Bank Transfer,Returned
ORD1103,2024-06-28,2024-07-04,Heather Ashley,CUST447,Consumer,Electronics,Monitor,PROD2251,North,Ohio,South Morganton,9,2598.77,10,21050.04,1664.36,0.0,15,No,0,"Hughes, Brooks and Burgess",kristina53@example.net,Credit Card,Pending
ORD1104,2025-09-15,2025-09-17,Patricia Moss,CUST362,Consumer,Office Supplies,Calculator,PROD3504,North,Michigan,North Michael,3,4761.33,15,12141.39,3264.28,-901.79,36,No,0,Li-Thompson,epollard@example.net,Net Banking,Returned
ORD1105,2024-09-11,2024-09-14,Amy Parsons,CUST984,Home Office,Electronics,Monitor,PROD8205,North,New Jersey,West Jamesborough,8,2266.82,10,16321.1,1855.46,2961.79,22,No,0,Stewart LLC,ihays@example.com,Net Banking,Delivered
